Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End
25,0,2.0,7.7,6.9,3.4,0,20,5.74,13.58,8.62,7.84
23,0,1.0,8.4,11.4,2.4,4,77,15.65,6.77,5.71,7.5
23,2,2.0,5.2,8.6,2.1,2,100,12.11,19.13,7.48,8.83
18,2,0.0,7.4,11.7,3.6,3,40,2.23,8.48,8.67,10.43
25,2,0.0,4.9,12.0,3.2,3,96,9.8,18.83,5.04,10.51
18,1,2.0,5.0,10.4,3.4,0,72,6.61,4.26,6.33,9.5
21,2,1.0,6.0,5.9,3.5,1,12,10.46,13.24,8.15,10.7
21,0,2.0,4.7,8.9,3.8,3,35,8.09,6.76,7.44,9.65
23,1,1.0,6.0,1.8,2.8,4,115,7.31,18.75,5.55,10.28
25,2,0.0,8.7,10.3,3.8,1,102,2.79,20.25,7.45,7.04
24,2,3.0,6.3,8.6,2.8,4,55,19.82,4.08,6.69,9.42
25,2,2.0,5.2,9.7,1.2,4,61,21.57,11.91,7.38,9.83
21,0,3.0,4.2,5.1,3.6,5,108,10.64,18.92,7.28,8.48
20,0,1.0,4.5,11.6,3.2,4,16,1.35,11.63,6.08,9.35
25,1,2.0,4.6,2.4,2.5,2,99,2.29,18.18,5.68,7.87
24,1,3.0,8.0,1.5,2.4,0,41,15.83,13.15,6.78,9.13
18,1,1.0,5.0,11.5,2.6,4,18,12.29,14.6,5.93,8.44
21,2,3.0,6.4,5.1,2.4,2,99,7.03,9.62,7.01,7.46
25,0,3.0,4.4,3.9,2.9,1,14,19.75,18.68,8.51,10.45
25,0,0.0,7.5,0.1,2.0,0,120,14.41,19.67,8.23,9.09
23,1,3.0,5.0,5.8,3.8,0,53,6.08,15.76,6.76,9.94
22,1,1.0,6.1,7.8,3.0,1,108,10.49,10.85,5.6,10.02
23,2,2.0,7.5,10.8,2.1,4,105,13.81,7.39,8.44,9.46
23,1,1.0,4.1,3.7,1.8,1,42,11.26,6.4,5.46,8.26
18,1,3.0,6.8,1.6,3.8,0,53,6.34,21.12,8.47,10.07
19,1,0.0,6.5,4.4,1.2,2,104,12.47,10.68,6.21,9.47
22,1,2.0,7.7,9.2,2.2,0,67,5.58,15.7,5.47,10.95
25,2,2.0,4.7,8.3,2.3,4,74,19.09,12.06,6.75,7.76
24,1,1.0,7.3,8.1,3.4,2,110,20.54,18.04,7.35,9.77
23,0,1.0,7.7,4.1,1.7,0,67,9.06,15.36,7.98,8.24
25,1,3.0,4.1,5.2,1.3,5,0,6.26,16.87,5.22,9.51
24,2,1.0,6.4,9.2,2.5,4,64,7.65,8.12,6.27,10.37
25,0,2.0,7.7,10.5,1.8,5,103,10.35,21.81,7.47,7.45
24,2,2.0,8.8,1.6,3.6,4,81,4.46,7.23,7.33,8.95
20,2,3.0,7.3,11.8,3.6,3,119,14.64,16.44,8.27,9.52
19,0,3.0,8.9,1.2,1.2,3,25,12.86,15.25,5.24,10.16
25,1,2.0,5.1,6.3,3.7,3,18,1.17,8.94,6.51,8.16
21,0,0.0,8.6,4.3,3.1,2,28,11.29,18.33,7.9,8.7
22,2,0.0,6.8,5.5,2.4,0,3,14.54,19.29,6.3,7.7
18,2,0.0,6.4,9.4,1.1,1,89,8.47,3.46,7.61,8.92
24,1,0.0,7.1,1.8,2.7,5,92,8.32,4.81,7.52,7.48
18,0,2.0,5.0,9.9,3.2,3,24,16.46,5.27,8.98,8.51
24,1,2.0,4.3,2.2,1.7,2,14,1.31,21.09,6.18,9.13
24,1,0.0,8.6,7.4,3.9,3,44,6.45,20.25,5.28,9.95
23,0,1.0,4.8,1.5,3.1,1,114,21.43,15.86,5.56,10.14
21,1,1.0,5.6,6.1,1.1,4,25,20.16,13.48,7.11,9.51
25,2,1.0,8.9,9.8,1.9,3,98,19.01,11.54,6.25,7.97
25,1,1.0,4.3,2.3,3.7,2,3,3.03,7.97,8.86,8.87
24,1,2.0,8.6,8.5,3.5,3,116,21.89,2.05,6.96,9.0
18,1,1.0,5.9,0.3,1.7,2,40,17.99,11.77,5.23,10.35
24,1,3.0,5.1,4.8,2.6,2,8,6.3,4.84,7.27,9.39
19,0,1.0,8.3,3.8,3.1,5,36,10.01,17.7,5.36,7.96
18,1,0.0,5.7,9.8,1.6,4,74,2.08,14.72,7.29,9.45
19,2,0.0,8.4,0.8,2.3,5,52,10.31,8.11,5.53,7.75
18,2,3.0,5.0,1.0,1.0,0,52,16.67,17.7,5.9,8.8
25,0,2.0,5.3,1.3,3.6,2,26,7.16,17.26,8.19,10.4
23,1,2.0,4.1,10.4,3.6,5,27,6.98,6.38,5.53,8.55
18,2,2.0,7.0,0.9,1.4,4,25,4.49,17.56,5.8,8.33
21,1,2.0,7.5,4.5,1.5,0,105,3.49,13.79,5.98,7.09
20,1,3.0,8.2,3.7,3.9,0,83,15.57,15.1,5.5,9.07
18,1,0.0,7.8,7.3,2.4,1,2,1.28,13.07,6.44,7.1
22,0,2.0,4.9,0.4,3.3,4,118,12.99,15.7,8.61,10.41
18,0,0.0,7.6,7.9,1.3,1,39,9.04,18.56,6.26,7.08
18,0,3.0,7.4,11.1,3.6,1,90,18.03,20.68,6.23,8.53
23,1,1.0,5.1,7.3,4.0,3,67,10.51,16.24,5.0,8.26
22,0,3.0,8.5,10.1,1.4,1,7,9.84,3.66,7.51,10.67
25,1,1.0,6.4,11.9,1.6,2,35,8.91,9.71,5.22,7.26
25,1,0.0,6.0,6.4,1.5,1,58,14.91,6.0,7.4,9.74
20,0,1.0,8.4,6.0,3.7,3,58,19.35,4.21,6.43,7.25
25,2,2.0,7.2,7.7,1.1,3,34,14.94,5.41,5.57,10.35
18,1,0.0,5.4,12.0,2.8,5,20,16.16,3.35,7.99,7.53
19,0,3.0,8.0,10.6,3.8,2,12,3.14,2.3,7.86,7.74
25,0,3.0,5.7,11.7,1.6,1,93,17.47,20.38,8.69,10.94
21,2,1.0,7.8,9.4,3.4,4,108,18.72,13.41,6.06,10.25
21,2,1.0,6.1,1.8,3.3,5,74,8.62,12.16,5.25,7.97
18,2,0.0,8.4,2.7,1.5,4,114,4.83,2.06,7.53,8.61
21,1,0.0,6.0,8.8,4.0,5,117,6.79,6.53,5.99,8.91
19,1,2.0,8.7,5.8,2.3,2,112,13.68,5.94,5.12,7.48
18,0,1.0,5.5,4.9,2.1,2,86,8.74,16.45,8.83,8.86
24,0,1.0,5.7,4.8,3.0,5,115,10.06,12.22,7.78,9.48
24,2,2.0,4.2,8.8,1.6,3,94,13.69,8.96,5.83,10.57
20,2,3.0,6.4,5.7,3.1,3,36,6.68,12.01,7.69,8.71
18,0,3.0,7.0,4.0,3.0,2,7,18.53,7.51,8.3,9.62
22,0,0.0,5.2,1.6,1.7,1,101,12.31,17.6,8.53,10.73
24,1,3.0,6.9,8.1,1.2,2,76,13.29,12.81,5.2,10.49
19,2,3.0,8.7,1.5,2.8,1,93,7.84,11.05,7.92,9.28
25,1,3.0,4.1,1.8,2.8,2,67,15.72,20.47,8.26,9.76
22,0,1.0,6.5,11.7,3.4,1,99,13.05,20.96,8.58,10.81
21,1,2.0,5.5,7.3,3.4,4,77,7.39,12.72,5.28,7.15
20,1,1.0,7.2,9.5,1.7,4,92,8.85,14.32,8.17,8.8
21,2,1.0,8.2,2.5,2.9,2,119,5.98,19.04,5.78,8.19
18,2,1.0,7.4,4.8,3.2,5,16,12.45,6.97,7.92,9.72
20,2,3.0,6.5,9.6,3.6,4,83,9.83,17.04,5.04,9.13
20,1,3.0,7.3,4.8,3.3,4,94,7.5,4.59,5.78,9.06
25,2,3.0,4.8,1.5,2.6,1,92,12.43,5.35,7.69,9.96
18,1,2.0,8.7,11.5,3.7,2,51,3.42,17.83,7.78,7.77
23,0,2.0,8.9,5.3,2.5,4,97,19.12,12.85,6.59,8.61
20,0,0.0,6.9,0.9,3.8,5,108,7.77,14.83,6.37,9.8
25,0,0.0,5.4,7.4,1.9,0,9,15.83,6.65,5.49,8.24
21,2,2.0,8.2,6.2,2.7,3,115,21.64,13.19,8.95,7.02
21,0,3.0,5.9,10.4,1.4,3,57,6.29,21.84,8.75,9.18
18,0,1.0,4.8,8.6,1.1,0,9,10.28,8.13,5.66,9.51
20,1,0.0,7.4,6.3,3.1,5,41,17.13,20.37,6.22,7.41
24,2,1.0,4.5,8.0,3.0,5,9,20.35,16.81,5.9,7.55
21,1,2.0,4.5,0.9,1.1,0,40,19.93,14.73,6.75,8.41
23,0,3.0,7.3,2.1,4.0,2,42,16.69,11.07,6.07,8.14
20,2,2.0,4.3,4.2,2.5,2,69,17.25,11.4,8.36,9.54
22,1,1.0,8.3,3.4,3.2,2,4,3.27,2.48,6.45,8.15
24,2,2.0,6.8,8.3,3.0,5,38,2.28,5.2,8.25,9.07
22,1,1.0,7.8,5.0,3.6,4,3,2.82,3.17,7.89,8.13
20,0,2.0,4.2,3.9,1.9,4,118,4.98,7.38,5.24,8.94
25,1,0.0,8.8,1.7,3.1,5,40,14.86,8.96,8.41,10.4
20,2,1.0,5.3,8.0,3.8,4,4,13.31,3.06,7.53,7.11
23,2,0.0,4.5,3.8,2.8,3,60,7.67,9.72,8.13,10.29
22,2,2.0,6.9,8.0,1.5,4,12,4.06,12.15,8.18,8.4
24,1,3.0,7.3,7.4,1.7,0,119,14.2,13.15,7.75,8.25
20,0,0.0,8.9,0.3,2.4,4,90,4.01,14.71,8.91,8.78
19,2,3.0,6.1,11.8,3.4,1,95,3.27,7.74,5.22,10.51
25,0,1.0,8.7,8.9,3.5,1,89,20.53,13.6,7.7,7.88
25,2,1.0,4.6,1.1,1.8,0,111,21.93,11.53,8.23,10.42
18,0,3.0,7.5,5.5,1.3,2,110,3.87,3.18,5.15,9.91
21,1,1.0,4.1,11.6,1.3,3,116,4.17,8.07,6.32,9.92
25,2,1.0,5.8,10.6,2.8,1,70,2.28,11.1,8.45,7.47
19,0,0.0,7.0,6.0,1.3,5,88,14.04,10.69,6.3,8.72
20,0,1.0,8.9,8.6,1.2,2,46,5.2,17.67,5.24,8.3
24,1,3.0,4.2,3.7,1.6,2,74,13.26,19.56,6.1,9.82
18,2,0.0,8.9,2.6,3.6,0,107,16.08,6.17,7.55,8.15
22,2,0.0,5.1,9.5,2.6,2,85,16.69,6.3,6.09,8.68
22,2,0.0,4.4,2.4,2.9,1,80,3.23,19.45,5.33,10.39
18,1,1.0,6.7,8.3,2.5,0,19,5.28,12.4,6.88,10.81
20,0,3.0,7.5,0.7,3.2,1,64,15.79,10.98,8.48,7.19
21,0,0.0,8.7,1.2,1.7,5,68,10.6,12.52,6.11,9.61
19,1,0.0,5.1,6.4,1.6,5,33,19.24,6.45,8.69,10.44
25,0,2.0,8.6,6.8,3.2,0,44,8.71,7.52,7.92,10.19
20,2,1.0,7.6,9.1,1.5,3,113,14.91,4.97,8.7,8.06
21,1,1.0,6.6,7.2,2.5,3,73,1.52,11.86,7.89,7.49
25,0,3.0,4.7,0.2,1.2,1,105,21.89,7.35,7.82,8.03
24,1,0.0,4.1,6.6,3.1,3,85,4.64,19.65,7.36,9.85
21,0,1.0,4.2,8.1,2.3,5,103,3.92,20.95,7.45,9.41
19,1,2.0,8.6,9.1,2.8,5,14,3.0,2.5,5.97,7.52
25,1,0.0,8.4,7.9,2.8,5,7,13.46,5.89,8.06,10.54
21,1,3.0,7.9,10.7,2.5,2,26,18.36,12.96,6.28,7.88
21,1,1.0,6.4,5.3,3.2,4,108,16.06,2.11,5.69,10.69
20,1,3.0,4.6,8.8,3.6,1,95,9.32,5.88,7.63,8.62
24,2,2.0,8.7,9.9,1.9,5,98,12.22,2.46,6.22,10.23
19,1,3.0,8.3,6.7,3.9,5,93,14.21,21.51,8.15,9.26
25,1,2.0,6.1,8.3,1.0,3,10,14.72,20.67,5.18,8.1
20,2,3.0,4.0,1.4,3.0,5,26,8.42,5.69,7.71,7.62
25,2,0.0,5.4,11.6,1.2,2,6,13.55,13.38,7.47,7.35
20,0,1.0,8.2,6.4,3.3,4,74,11.47,7.45,5.52,7.71
19,0,2.0,4.4,2.8,3.7,0,8,11.04,9.89,5.39,7.69
22,2,2.0,5.3,5.5,3.3,0,27,4.02,10.41,5.32,10.76
21,1,1.0,7.2,11.6,1.4,2,85,5.34,11.95,5.17,9.27
23,0,0.0,8.1,1.2,2.0,5,37,3.66,4.6,8.66,10.74
23,1,1.0,8.0,6.4,1.3,1,115,16.27,15.94,7.98,9.03
21,1,0.0,8.9,2.8,2.5,5,43,9.04,21.53,6.17,9.91
24,0,1.0,7.0,11.1,3.6,1,100,9.39,10.38,7.68,8.27
19,2,3.0,5.4,2.7,2.8,4,56,9.73,18.73,7.62,8.43
18,2,3.0,5.4,12.0,2.7,2,27,3.86,15.91,7.09,7.25
21,2,1.0,6.4,3.1,1.8,3,113,7.94,17.07,7.86,7.56
25,2,1.0,7.1,8.3,1.3,0,120,2.25,21.89,7.05,8.35
21,1,2.0,8.4,4.2,1.2,3,7,7.16,9.1,6.24,7.55
21,0,1.0,8.1,5.3,3.1,0,50,8.6,20.69,5.45,8.05
25,2,0.0,8.4,11.3,2.0,3,96,10.04,6.47,7.59,9.21
24,2,2.0,4.5,4.8,2.9,5,66,2.5,17.49,8.74,10.39
19,1,1.0,8.7,9.8,1.5,5,45,18.43,9.24,8.09,9.88
20,0,2.0,8.5,3.7,3.2,2,25,4.16,14.02,6.04,10.7
23,0,3.0,7.2,0.7,2.4,4,55,12.85,21.04,8.72,9.37
18,2,0.0,5.9,11.2,3.8,1,58,12.7,15.19,7.52,10.94
20,1,1.0,6.7,3.9,3.7,2,118,4.05,8.54,8.25,8.38
25,0,3.0,4.9,5.0,1.7,3,25,16.96,3.85,6.13,9.7
21,1,2.0,5.4,0.4,3.4,3,79,19.21,12.91,8.85,7.22
21,1,2.0,7.7,11.6,2.6,0,67,2.53,8.67,8.98,10.25
23,1,0.0,7.4,4.3,3.5,0,21,9.61,5.73,8.13,7.14
22,0,0.0,7.0,7.8,2.2,4,28,2.07,17.3,6.09,9.98
23,0,1.0,7.1,0.5,1.8,1,23,9.74,13.7,7.14,9.6
21,0,0.0,7.2,10.3,2.5,4,45,12.95,15.61,8.3,9.79
19,0,2.0,4.2,0.8,2.4,4,52,3.67,4.64,8.97,7.3
19,0,1.0,6.0,6.2,1.6,0,28,17.44,16.75,7.21,8.89
24,1,2.0,5.1,7.8,1.6,2,65,16.13,12.35,7.09,9.47
20,1,3.0,6.0,0.7,2.1,3,52,4.64,6.64,7.72,7.98
21,1,3.0,5.5,7.0,3.3,5,49,12.72,12.16,5.08,7.55
19,0,2.0,7.5,2.3,2.6,1,87,17.79,3.78,6.28,9.34
22,1,0.0,6.3,0.7,3.4,0,40,9.46,6.07,6.59,7.81
21,0,3.0,6.2,8.3,2.5,3,58,7.6,19.36,7.8,9.67
20,2,2.0,4.1,3.1,2.1,3,8,21.69,10.69,5.05,8.79
22,0,2.0,6.2,7.6,2.6,2,48,3.76,11.75,5.06,8.91
25,0,3.0,4.2,10.8,3.3,1,64,13.29,8.92,6.06,10.41
25,0,0.0,8.8,4.6,1.2,4,10,9.52,18.14,6.02,10.75
21,0,0.0,7.3,6.8,1.1,2,3,1.54,17.73,6.84,9.65
25,2,3.0,6.0,6.1,1.9,5,50,5.32,16.09,7.64,8.96
20,1,2.0,7.1,4.6,3.1,4,114,7.93,5.53,6.61,7.84
20,1,0.0,4.1,7.6,1.2,0,81,14.57,14.96,8.33,9.33
23,2,1.0,8.0,1.8,2.1,0,95,1.82,5.43,5.68,7.32
23,2,1.0,5.1,7.1,2.7,0,80,4.66,11.24,5.05,10.3
19,0,2.0,5.8,7.5,1.5,3,74,18.34,16.93,8.54,10.0
22,2,3.0,6.7,3.2,2.5,2,83,10.21,11.53,6.31,9.25
19,2,2.0,7.4,7.7,1.8,4,115,15.86,6.39,6.85,7.13
18,2,3.0,7.5,7.0,2.3,1,27,9.47,6.82,7.05,8.99
24,1,2.0,8.7,2.9,3.2,3,46,12.68,8.37,6.91,9.12
18,0,1.0,4.9,0.5,3.5,0,12,19.1,15.49,8.35,7.2
19,2,1.0,7.1,1.6,1.3,0,113,8.4,5.34,5.29,10.19
25,2,0.0,4.4,5.0,2.8,3,49,2.21,6.19,6.26,8.06
23,0,3.0,8.1,10.6,1.4,0,79,6.43,5.16,5.03,8.57
18,0,3.0,6.1,7.1,2.4,1,63,21.06,18.96,6.67,9.49
23,1,2.0,8.3,9.9,3.4,0,39,7.09,2.07,8.29,7.07
20,1,3.0,4.7,2.7,2.7,0,85,20.98,6.12,8.98,9.01
24,2,0.0,8.7,11.9,2.6,5,89,10.19,3.12,8.65,8.3
24,0,3.0,5.2,8.3,3.2,2,35,2.05,9.67,8.55,8.25
24,0,1.0,7.2,7.7,2.9,4,54,20.32,17.78,7.61,7.81
22,1,2.0,9.0,2.7,3.5,2,94,5.69,6.64,7.32,8.31
21,1,1.0,6.5,5.9,2.3,3,111,3.84,10.99,8.0,9.14
24,0,1.0,8.0,1.3,2.7,5,20,21.82,20.36,5.66,10.17
22,2,0.0,6.2,10.4,1.8,5,76,7.24,20.99,6.89,8.97
23,1,0.0,5.3,0.1,2.8,4,24,13.47,15.51,8.06,8.21
18,2,1.0,8.4,5.6,3.4,5,99,9.89,10.16,7.57,10.97
22,1,2.0,7.1,3.1,1.3,1,68,17.65,2.2,8.16,8.93
24,0,1.0,5.2,5.4,4.0,4,11,5.48,7.8,5.78,9.1
24,2,1.0,4.8,10.4,2.6,5,101,8.63,2.75,8.35,9.25
21,2,2.0,7.9,10.9,3.3,1,98,18.11,5.1,8.74,10.32
25,2,2.0,4.9,6.9,3.4,4,101,5.21,8.96,5.61,7.46
24,0,0.0,7.8,11.2,1.7,3,26,5.78,12.79,8.95,10.21
24,1,3.0,5.6,9.6,1.8,3,51,10.41,15.25,6.01,9.99
20,2,1.0,6.4,9.4,3.9,5,62,19.54,22.0,6.12,7.25
19,2,3.0,5.0,10.5,1.8,1,53,15.56,17.0,5.8,9.8
25,2,3.0,4.6,0.1,3.0,5,92,15.82,9.44,5.94,8.24
23,2,0.0,6.4,10.1,3.0,5,5,19.93,8.69,6.55,8.63
18,1,0.0,9.0,5.1,3.5,2,10,11.02,14.44,8.73,8.13
18,1,2.0,4.5,11.9,2.3,4,105,11.69,9.33,6.29,9.47
25,1,1.0,8.0,2.9,3.3,0,70,1.98,20.14,6.4,7.22
22,1,1.0,4.6,2.9,3.5,4,7,19.59,3.39,8.0,9.06
24,0,3.0,7.6,11.7,1.6,5,78,2.57,16.4,5.72,9.33
22,0,0.0,7.6,2.8,1.3,5,53,5.75,20.09,6.9,10.04
22,1,0.0,5.9,7.9,2.2,1,97,14.39,3.03,6.49,7.08
21,1,2.0,6.6,8.3,2.9,4,3,11.62,5.9,7.96,10.17
18,0,3.0,7.5,4.2,3.8,3,56,5.55,10.14,7.84,7.32
24,0,0.0,8.6,2.4,1.4,1,86,11.06,18.88,8.14,8.78
20,1,1.0,7.1,1.1,1.3,0,100,21.86,3.51,8.21,9.98
18,1,0.0,4.7,8.8,1.8,4,22,13.37,8.49,7.15,7.03
24,0,0.0,8.2,2.0,3.4,0,23,18.84,2.63,5.1,7.77
18,0,1.0,5.9,1.2,3.6,5,83,6.68,4.74,6.94,8.16
25,0,3.0,4.9,10.4,2.3,4,7,7.02,19.21,7.27,9.62
24,0,0.0,7.6,3.9,1.4,4,21,18.4,11.29,6.42,9.14
20,1,1.0,8.3,2.2,1.4,2,43,19.19,17.37,5.06,8.8
18,1,1.0,6.2,2.6,3.6,2,86,15.02,8.53,5.13,7.94
22,1,1.0,4.8,8.6,1.7,3,61,5.62,21.16,6.45,8.02
18,2,2.0,5.1,7.5,1.1,1,114,20.13,10.03,5.01,7.92
21,2,3.0,8.4,11.6,3.6,2,5,8.76,21.4,6.54,7.23
19,0,1.0,7.8,9.6,3.7,0,106,13.54,21.44,6.25,10.78
21,1,3.0,5.6,1.2,3.7,2,120,6.09,5.68,7.96,8.9
18,0,0.0,4.3,1.3,2.0,2,102,16.76,6.2,6.1,9.87
20,1,1.0,8.1,10.2,3.9,2,53,7.84,10.91,5.35,8.61
23,2,3.0,6.1,9.9,1.2,2,107,5.61,19.42,7.23,10.1
21,1,1.0,7.5,1.5,2.0,2,37,20.43,19.18,7.51,9.78
22,2,0.0,6.7,8.5,3.6,1,60,19.6,11.3,6.31,7.41
21,1,0.0,8.0,11.5,2.3,2,64,5.5,14.74,8.61,9.07
25,0,0.0,6.6,10.7,1.8,0,56,21.68,16.75,5.07,10.89
18,2,0.0,8.7,6.6,3.3,3,98,1.17,20.13,8.61,10.41
18,0,0.0,6.6,3.5,1.8,3,46,21.33,17.98,8.46,10.17
20,0,0.0,6.3,1.0,4.0,5,50,13.11,12.6,8.04,9.44
23,0,2.0,6.5,4.2,1.0,1,85,1.24,2.17,8.49,7.68
21,1,3.0,7.8,2.1,3.1,1,83,1.08,14.2,6.61,7.82
20,0,1.0,4.9,1.0,2.9,2,81,7.33,8.99,6.31,10.31
25,1,2.0,8.1,6.5,3.0,4,104,5.42,15.76,7.57,10.35
18,1,3.0,8.1,5.4,3.2,3,107,8.58,18.11,8.75,8.72
25,0,0.0,5.4,2.2,1.6,2,73,1.87,21.06,8.28,10.3
22,1,1.0,7.1,5.8,3.2,4,37,17.39,13.11,6.74,7.7
21,1,2.0,6.0,7.4,1.9,4,75,15.42,16.56,8.38,8.17
24,2,2.0,8.6,2.9,1.1,0,46,9.0,13.85,5.37,8.42
23,1,1.0,6.5,1.8,3.2,2,73,6.21,5.25,6.31,7.66
20,0,3.0,4.8,4.9,3.0,5,75,21.67,21.97,7.72,7.72
19,0,2.0,6.6,8.0,2.8,4,11,7.17,14.35,8.87,9.33
21,2,0.0,7.4,4.7,3.6,5,13,16.15,17.66,7.97,9.21
18,0,3.0,7.4,8.3,1.8,3,97,11.37,16.04,6.64,7.96
21,1,0.0,6.3,6.0,1.9,5,74,8.73,7.1,8.21,10.21
25,1,0.0,5.5,4.7,2.5,1,66,9.32,19.72,7.14,7.12
22,2,0.0,4.4,7.9,2.5,3,84,5.42,14.57,7.87,8.83
23,0,1.0,7.3,6.2,2.5,5,1,17.27,7.0,6.5,10.71
23,1,2.0,4.2,3.1,3.5,5,83,20.74,3.52,6.23,10.74
24,1,0.0,5.3,7.0,2.0,3,91,20.02,8.84,6.81,7.83
22,1,1.0,4.6,3.3,3.9,2,32,20.84,4.5,7.35,8.23
23,2,2.0,6.6,7.5,1.5,1,56,3.91,17.22,6.78,9.48
18,1,0.0,7.2,11.9,3.9,2,17,10.25,12.72,5.33,10.13
21,1,3.0,6.2,9.6,2.7,0,111,5.53,15.86,5.43,8.87
23,1,0.0,4.2,4.4,1.3,2,83,17.57,10.15,8.45,10.91
21,1,1.0,4.7,11.2,2.2,0,33,12.22,3.97,8.71,9.86
21,1,0.0,6.5,11.2,1.4,2,118,21.05,20.16,8.28,9.5
21,2,1.0,8.7,8.9,2.7,3,53,9.71,16.09,7.15,10.85
20,0,0.0,5.2,2.0,3.1,0,99,12.27,16.44,5.57,9.76
24,1,1.0,5.3,9.7,3.6,4,88,19.41,5.75,6.91,10.98
20,2,0.0,7.0,1.5,1.6,1,18,7.57,3.14,6.54,10.0
24,2,2.0,5.4,5.4,2.0,0,76,3.62,12.58,8.26,10.22
20,0,2.0,7.3,5.6,2.3,1,87,17.65,18.35,5.91,10.32
25,2,1.0,6.8,7.5,1.9,2,42,16.43,3.51,5.25,10.01
21,0,2.0,5.5,0.5,3.7,2,46,5.17,17.01,7.76,7.45
24,0,0.0,5.1,11.9,1.9,3,16,8.99,11.53,7.12,8.36
25,0,2.0,8.8,3.9,2.6,3,107,3.31,19.73,6.71,10.17
25,1,0.0,5.8,7.2,3.3,2,24,8.51,15.65,6.26,8.55
